id,numero,titulo,director,anio_estreno,pais_origen,fecha_vista,anio_visto,es_revisionado,estado_enriquecimiento,fuente,genero,animo,sinopsis,poster_url,rating_externo,notas_ia
P0045-1,45,What we do in the shadows,Jemaine Clement/Taika Waititi,2014,Nueva Zelanda,2019-04-02,2018,No,Migrada,CSV historico,,,,,,
P0046-1,46,Foo Figthers Back and forth,James Moll,2011,USA,2019-04-06,2018,No,Migrada,CSV historico,,,,,,
P0047-1,47,Leon:The professional,Luc Besson,1994,Francia,2019-04-14,2018,No,Migrada,CSV historico,,,,,,
P0048-1,48,Perfectos desconocidos,Alex de la iglesia,2017,España,2019-05-05,2018,No,Migrada,CSV historico,,,,,,
P0049-1,49,27 El club de los malditos,Nicanor Loreti,2018,Argentina,2019-05-06,2018,No,Migrada,CSV historico,,,,,,
P0050-1,50,La hija de Dios,Gee Malik Linton,2016,USA,2019-05-06,2018,No,Migrada,CSV historico,,,,,,
P0051-1,51,El caso Benzema,Florent Bodin/ Damien Piscarel,2017,Francia,2019-05-12,2018,No,Migrada,CSV historico,,,,,,
P0052-1,52,American Made,Doug Liman,2017,USA,2019-05-12,2018,No,Migrada,CSV historico,,,,,,
P0053-1,53,El Ciudadano ilustre,Gaston Duprat,2016,Argentina,2019-05-13,2018,No,Migrada,CSV historico,,,,,,
P0054-1,54,Unbreakeable,M. Night Shyamalan,2000,USA,2019-05-13,2018,No,Migrada,CSV historico,,,,,,
P0055-1,55,Contratiempo,Oriol Paulo,2017,España,2019-05-20,2018,No,Migrada,CSV historico,,,,,,
P0056-1,56,Pulp Fiction,Quentin Tarantino,1994,USA,2019-05-21,2018,Si,Migrada,CSV historico,,,,,,
P0057-1,57,The Gift,Joel Edgerton,2015,Australia/USA,2019-05-30,2018,No,Migrada,CSV historico,,,,,,
P0058-1,58,Dragon Ball Z la batalla de los dioses,Masahiro Hosoda,2013,Japon,2019-06-01,2018,No,Migrada,CSV historico,,,,,,
P0059-1,59,Heroes: Film oficial de la copa del mundo 1986,Tony Maylam,1987,UK,2019-06-03,2018,No,Migrada,CSV historico,,,,,,
P0060-1,60,1978: Argentina campeon de la copa del mundo,Howard Lanning,1978,UK,2019-06-03,2018,No,Migrada,CSV historico,,,,,,
P0061-1,61,Nigthcrawler,Dan Gilroy,2014,USA,2019-06-03,2018,No,Migrada,CSV historico,,,,,,
P0062-1,62,Revenge,Coralie Fargeat,2018,Francia,2019-06-15,2018,No,Migrada,CSV historico,,,,,,
P0063-1,63,Zodiac,David Fincher,2007,USA,2019-06-19,2018,No,Migrada,CSV historico,,,,,,
P0064-1,64,Ready player One,Steven Spielberg,2018,USA,2019-06-20,2018,No,Migrada,CSV historico,,,,,,
P0065-1,65,Elle,Paul Verhoeven,2016,Francia/Belgica/Alemania,2019-06-23,2018,No,Migrada,CSV historico,,,,,,
P0066-1,66,The Florida Proyect,Sean Baker,2017,USA,2019-06-24,2018,No,Migrada,CSV historico,,,,,,
P0067-1,67,The Terminator,James Cameron,1984,USA,2019-06-24,2018,No,Migrada,CSV historico,,,,,,
P0068-1,68,Mundo Grua,Pablo Trapero,1999,Argentina,2019-06-25,2018,No,Migrada,CSV historico,,,,,,
P0069-1,69,Source Code,Duncan Jones,2011,USA,2019-07-02,2018,Si,Migrada,CSV historico,,,,,,
